parcelx	LH_Vis_1	LH_Vis_2	LH_Vis_3	LH_Vis_4	LH_Vis_5	LH_Vis_6	LH_Vis_7	LH_Vis_8	LH_Vis_9	LH_Vis_10	LH_Vis_11	LH_Vis_12	LH_Vis_13	LH_Vis_14	LH_SomMot_1	LH_SomMot_2	LH_SomMot_3	LH_SomMot_4	LH_SomMot_5	LH_SomMot_6	LH_SomMot_7	LH_SomMot_8	LH_SomMot_9	LH_SomMot_10	LH_SomMot_11	LH_SomMot_12	LH_SomMot_13	LH_SomMot_14	LH_SomMot_15	LH_SomMot_16	LH_DorsAttn_Post_1	LH_DorsAttn_Post_2	LH_DorsAttn_Post_3	LH_DorsAttn_Post_4	LH_DorsAttn_Post_5	LH_DorsAttn_Post_6	LH_DorsAttn_Post_7	LH_DorsAttn_Post_8	LH_DorsAttn_Post_9	LH_DorsAttn_Post_10	LH_DorsAttn_FEF_1	LH_DorsAttn_FEF_2	LH_DorsAttn_PrCv_1	LH_SalVentAttn_ParOper_1	LH_SalVentAttn_ParOper_2	LH_SalVentAttn_ParOper_3	LH_SalVentAttn_FrOperIns_1	LH_SalVentAttn_FrOperIns_2	LH_SalVentAttn_FrOperIns_3	LH_SalVentAttn_FrOperIns_4	LH_SalVentAttn_PFCl_1	LH_SalVentAttn_Med_1	LH_SalVentAttn_Med_2	LH_SalVentAttn_Med_3	LH_Limbic_OFC_1	LH_Limbic_OFC_2	LH_Limbic_TempPole_1	LH_Limbic_TempPole_2	LH_Limbic_TempPole_3	LH_Limbic_TempPole_4	LH_Cont_Par_1	LH_Cont_Par_2	LH_Cont_Par_3	LH_Cont_Temp_1	LH_Cont_OFC_1	LH_Cont_PFCl_1	LH_Cont_PFCl_2	LH_Cont_PFCl_3	LH_Cont_PFCl_4	LH_Cont_PFCl_5	LH_Cont_pCun_1	LH_Cont_Cing_1	LH_Cont_Cing_2	LH_Default_Temp_1	LH_Default_Temp_2	LH_Default_Temp_3	LH_Default_Temp_4	LH_Default_Temp_5	LH_Default_Par_1	LH_Default_Par_2	LH_Default_Par_3	LH_Default_Par_4	LH_Default_PFC_1	LH_Default_PFC_2	LH_Default_PFC_3	LH_Default_PFC_4	LH_Default_PFC_5	LH_Default_PFC_6	LH_Default_PFC_7	LH_Default_PFC_8	LH_Default_PFC_9	LH_Default_PFC_10	LH_Default_PFC_11	LH_Default_PFC_12	LH_Default_PFC_13	LH_Default_pCunPCC_1	LH_Default_pCunPCC_2	LH_Default_pCunPCC_3	LH_Default_pCunPCC_4	LH_Default_PHC_1	RH_Vis_1	RH_Vis_2	RH_Vis_3	RH_Vis_4	RH_Vis_5	RH_Vis_6	RH_Vis_7	RH_Vis_8	RH_Vis_9	RH_Vis_10	RH_Vis_11	RH_Vis_12	RH_Vis_13	RH_Vis_14	RH_Vis_15	RH_SomMot_1	RH_SomMot_2	RH_SomMot_3	RH_SomMot_4	RH_SomMot_5	RH_SomMot_6	RH_SomMot_7	RH_SomMot_8	RH_SomMot_9	RH_SomMot_10	RH_SomMot_11	RH_SomMot_12	RH_SomMot_13	RH_SomMot_14	RH_SomMot_15	RH_SomMot_16	RH_SomMot_17	RH_SomMot_18	RH_SomMot_19	RH_DorsAttn_Post_1	RH_DorsAttn_Post_2	RH_DorsAttn_Post_3	RH_DorsAttn_Post_4	RH_DorsAttn_Post_5	RH_DorsAttn_Post_6	RH_DorsAttn_Post_7	RH_DorsAttn_Post_8	RH_DorsAttn_Post_9	RH_DorsAttn_Post_10	RH_DorsAttn_FEF_1	RH_DorsAttn_FEF_2	RH_DorsAttn_PrCv_1	RH_SalVentAttn_TempOccPar_1	RH_SalVentAttn_TempOccPar_2	RH_SalVentAttn_TempOccPar_3	RH_SalVentAttn_PrC_1	RH_SalVentAttn_FrOperIns_1	RH_SalVentAttn_FrOperIns_2	RH_SalVentAttn_FrOperIns_3	RH_SalVentAttn_FrOperIns_4	RH_SalVentAttn_Med_1	RH_SalVentAttn_Med_2	RH_SalVentAttn_Med_3	RH_Limbic_OFC_1	RH_Limbic_OFC_2	RH_Limbic_OFC_3	RH_Limbic_TempPole_1	RH_Limbic_TempPole_2	RH_Limbic_TempPole_3	RH_Cont_Par_1	RH_Cont_Par_2	RH_Cont_Par_3	RH_Cont_Temp_1	RH_Cont_PFCv_1	RH_Cont_PFCl_1	RH_Cont_PFCl_2	RH_Cont_PFCl_3	RH_Cont_PFCl_4	RH_Cont_PFCl_5	RH_Cont_PFCl_6	RH_Cont_PFCl_7	RH_Cont_pCun_1	RH_Cont_Cing_1	RH_Cont_Cing_2	RH_Cont_PFCmp_1	RH_Cont_PFCmp_2	RH_Default_Par_1	RH_Default_Par_2	RH_Default_Par_3	RH_Default_Temp_1	RH_Default_Temp_2	RH_Default_Temp_3	RH_Default_Temp_4	RH_Default_Temp_5	RH_Default_PFCv_1	RH_Default_PFCdPFCm_1	RH_Default_PFCdPFCm_2	RH_Default_PFCdPFCm_3	RH_Default_PFCdPFCm_4	RH_Default_PFCdPFCm_5	RH_Default_PFCdPFCm_6	RH_Default_PFCdPFCm_7	RH_Default_pCunPCC_1	RH_Default_pCunPCC_2	RH_Default_pCunPCC_3
LH_Vis_1	1.0	0.1771	0.2557	0.2557	-0.4081	0.37	-0.0565	0.2036	-0.5413	0.1905	0.2168	0.2017	0.3047	0.3043	0.1258	0.2941	0.3131	0.1375	0.1116	0.2877	0.1266	-0.0506	0.1011	0.2072	0.2224	-0.0233	0.0185	0.2043	0.1753	0.1063	0.0236	0.1228	0.4271	0.1858	0.2775	0.1533	0.412	0.233	0.2396	0.2112	0.2364	-0.197	-0.0101	0.2909	0.1674	-0.2433	0.1971	0.1804	-0.0376	-0.2432	0.2312	0.1548	0.3061	0.2349	-0.0366	-0.0611	0.0524	0.1715	-0.1083	0.0187	-0.5252	-0.3803	-0.2284	-0.1629	0.0245	-0.2341	0.0383	-0.0951	-0.0436	0.0629	0.0338	-0.2871	-0.152	-0.0302	-0.3053	-0.0457	-0.3557	-0.151	-0.0028	0.0077	-0.2099	-0.2938	-0.033	0.0198	-0.1189	-0.0287	-0.1903	-0.0543	0.1651	0.0628	-0.0125	-0.3577	-0.2644	0.0667	-0.1159	0.1176	-0.1939	-0.1459	-0.087	0.4211	0.4235	0.3944	0.3012	0.2673	0.388	-0.4342	0.1638	-0.2437	0.118	0.3963	0.4602	0.2028	0.4212	0.3183	0.247	0.238	0.0828	0.203	0.1238	-0.0037	0.1595	0.384	0.1794	0.2851	0.2818	-0.0851	0.4158	0.2606	0.0829	0.1793	0.153	0.0654	0.2372	0.1627	0.1065	0.2995	0.3995	-0.1753	0.4366	0.2902	0.2684	0.3258	0.2952	0.1125	0.3794	0.1912	-0.1028	0.0329	0.2112	-0.0108	0.0986	0.0464	0.1579	-0.0202	-0.0376	0.062	0.0104	0.1558	-0.047	-0.2122	-0.2349	0.159	-0.157	-0.1542	-0.2983	-0.2655	-0.3631	-0.4106	0.0389	-0.3643	-0.2239	-0.3043	-0.144	0.0751	-0.246	-0.2657	0.0675	-0.1091	-0.1641	-0.2228	-0.2541	-0.1214	-0.3457	-0.453	0.073	-0.1988	0.0184	-0.2339	-0.1052	-0.1726	0.0665	-0.0994	-0.0919	-0.01	-0.2933	-0.179	0.0842	0.3496	-0.1514	-0.2546
LH_Vis_2	0.1771	1.0	0.644	0.6832	-0.274	0.3865	0.7366	0.6534	-0.0161	0.7099	0.3438	0.4854	0.7099	0.7279	-0.0586	0.2713	0.4963	0.0471	0.1592	0.2223	-0.0871	0.3334	0.3182	0.3041	0.1422	0.2137	0.366	-0.0972	0.3226	0.2024	-0.0709	-0.2812	0.3253	-0.125	-0.158	0.1903	0.0131	-0.1462	0.0317	0.0067	0.1895	-0.0414	0.0666	-0.0141	-0.1271	-0.1712	0.1219	-0.1766	0.1771	-0.2829	-0.3771	0.0389	0.0221	-0.0378	-0.093	-0.1001	-0.0135	-0.0442	-0.3692	0.3158	-0.166	0.2407	-0.0596	-0.0281	-0.5188	-0.1256	-0.0135	-0.281	0.2078	-0.0639	0.4222	0.1551	-0.1875	0.0393	-0.2548	-0.1147	-0.0129	-0.18	0.3309	-0.1031	-0.1492	-0.0743	-0.1378	-0.0584	-0.0704	-0.0036	-0.1739	-0.0627	-0.0683	-0.1641	-0.0814	-0.1443	-0.0092	-0.1173	-0.2312	0.1683	-0.0225	0.2154	0.1378	-0.0382	-0.0184	-0.1601	0.6609	0.6366	0.4919	-0.1606	0.4356	-0.2571	0.6766	0.6612	0.2236	0.6699	0.6452	0.6144	0.354	0.282	0.1294	0.4773	0.4265	0.2447	0.2692	0.2344	0.3257	0.2124	0.1758	0.1516	0.1232	0.2444	0.1565	0.3727	-0.2803	0.3423	0.3386	0.1127	0.1682	0.4425	0.0506	-0.0582	0.1252	-0.0068	0.2992	-0.01	0.014	0.1245	0.1939	-0.0344	-0.1683	0.2159	0.2255	0.122	-0.0046	0.0522	0.2274	-0.0128	0.1475	0.0265	0.3171	0.0533	0.1312	-0.0822	-0.1227	-0.1035	0.0833	0.0356	-0.1942	-0.045	-0.04	-0.0877	0.108	-0.2749	-0.1072	-0.2938	0.1774	-0.1837	0.0151	0.0335	0.5469	0.0788	0.0166	-0.0224	-0.1366	-0.2039	-0.0434	-0.1515	0.0901	-0.1985	0.2491	0.0947	0.0901	-0.0458	0.0543	-0.0299	0.205	-0.0334	-0.1837	-0.1731	0.0318	0.2977	-0.0369	0.0182
LH_Vis_3	0.2557	0.644	1.0	0.5843	-0.2826	0.2097	0.3569	0.5277	-0.1292	0.4839	0.2945	0.4059	0.4633	0.4983	0.0795	0.1289	0.3483	0.0833	-0.0771	0.1418	-0.0444	0.2734	0.0627	0.2472	0.0224	0.1223	0.2267	-0.1247	0.0063	0.2328	0.1847	-0.0222	0.3291	-0.0182	-0.01	0.3427	0.0705	-0.0059	0.0684	-0.1032	0.3271	0.1562	0.1746	-0.0958	-0.1275	-0.0839	0.1807	0.0676	0.1145	-0.0709	-0.2429	0.0063	-0.0539	-0.013	-0.011	0.1141	0.2738	0.2216	-0.3012	0.1896	0.0304	0.1929	0.0318	0.2801	-0.203	0.1192	0.1352	-0.1411	0.2105	0.0511	0.282	0.1737	-0.2035	0.2015	-0.0472	-0.008	0.1165	0.0158	0.3582	0.0374	0.0812	-0.0509	-0.0761	-0.0944	-0.0067	-0.0285	-0.0689	-0.1415	-0.1672	-0.1277	-0.0698	0.0426	0.1334	0.0626	-0.0233	0.049	-0.1327	0.2334	0.0043	0.0641	0.1073	0.0761	0.4257	0.4856	0.5238	-0.2768	0.3813	-0.1591	0.3236	0.528	0.2713	0.4507	0.504	0.5563	0.4731	0.2382	0.1097	0.2738	0.2129	0.0899	0.1742	0.181	0.3825	0.1155	0.2178	-0.0172	0.225	0.2557	0.125	0.2548	-0.2554	0.0653	0.0595	0.0877	0.3898	0.3849	-0.0273	0.1538	0.1115	0.1837	0.4598	0.0883	0.0825	-0.0412	0.3486	0.0118	0.0491	0.1703	0.2313	0.0627	0.0464	0.2136	0.0964	0.0262	0.1376	-0.0161	0.1212	0.0306	0.3068	0.0877	0.0199	0.1412	0.2182	0.1567	-0.05	0.0259	0.0498	0.1611	0.0317	-0.2339	-0.2009	-0.1389	0.2223	-0.1645	-0.1992	-0.1206	0.4268	-0.1381	-0.1398	-0.1667	-0.2736	-0.1848	-0.2472	-0.1341	0.1088	-0.1139	0.2163	-0.0631	0.0664	-0.1062	-0.0647	-0.0709	0.1062	-0.2465	-0.2659	-0.1316	-0.1582	0.2571	-0.2055	-0.0746
LH_Vis_4	0.2557	0.6832	0.5843	1.0	-0.4453	0.3588	0.4919	0.5176	-0.15	0.6909	-0.0755	0.7701	0.7595	0.4743	0.0878	0.1451	0.537	0.356	0.2477	0.4515	0.3334	0.3133	0.4176	0.4941	0.2732	0.4552	0.5139	0.1142	0.2961	0.3427	0.0273	-0.0271	0.0984	0.0584	0.0286	0.1475	-0.0911	-0.2011	-0.0385	0.1455	0.268	0.0042	0.0758	0.1356	0.1452	0.0479	0.2743	0.0946	0.2444	-0.0308	-0.1389	0.0808	0.1314	0.1341	-0.2195	-0.0493	0.0592	0.07	-0.2371	0.3653	-0.0907	0.188	0.016	0.0215	-0.3577	-0.0958	0.0045	-0.2222	0.1452	0.281	0.4826	0.0934	0.026	0.1475	-0.1747	-0.0427	0.2605	0.2803	0.4892	-0.2745	0.0232	-0.151	-0.1366	-0.3464	0.2477	-0.1665	0.1362	-0.1866	-0.0868	-0.0886	-0.1633	-0.0349	0.1135	-0.2077	-0.0032	-0.0673	-0.1236	0.3321	-0.0403	-0.0444	-0.0436	-0.2256	0.577	0.8278	0.418	-0.3653	0.4941	-0.4047	0.5109	0.6763	-0.0038	0.5306	0.7376	0.7436	0.1681	0.0785	0.1959	0.4769	0.3863	0.3082	0.4106	0.432	0.3003	0.3566	0.4456	0.2036	0.3746	0.496	0.328	0.5567	-0.1756	0.4018	0.4507	0.3468	0.0501	0.3689	0.1446	0.1155	0.1803	-0.1445	0.1524	-0.0025	-0.0027	0.2646	0.0602	-0.1551	-0.0703	0.3188	0.3563	0.1721	0.1402	0.1428	0.274	0.0213	0.1769	0.0754	0.3601	0.1228	0.052	-0.1041	-0.133	0.1297	0.3149	0.0634	-0.0449	0.0865	0.0633	0.0655	0.1267	-0.3144	-0.2865	-0.1122	0.0838	-0.1337	-0.1412	-0.1325	0.5744	0.0855	-0.1536	-0.1324	-0.179	-0.4425	-0.2515	-0.1161	0.0506	-0.4221	0.2578	0.0915	0.4472	0.013	-0.3173	-0.1971	0.0872	-0.3414	-0.3001	-0.3511	-0.3657	0.0476	-0.2598	-0.1134
LH_Vis_5	-0.4081	-0.274	-0.2826	-0.4453	1.0	-0.2189	-0.1571	-0.2172	0.3917	-0.4026	0.2449	-0.6987	-0.5563	-0.4204	-0.1931	-0.4456	-0.4633	-0.3857	-0.2835	-0.3822	-0.5154	-0.3156	-0.3236	-0.4041	-0.3536	-0.4664	-0.3994	-0.2222	-0.466	-0.2826	0.0489	-0.0407	-0.3564	-0.3266	-0.4577	-0.2025	-0.214	-0.0831	0.0259	-0.1916	-0.4892	-0.0221	0.0061	-0.277	-0.3395	0.1306	-0.0861	-0.1142	-0.2812	-0.1345	-0.1353	-0.2977	-0.1119	-0.4172	0.2644	0.0101	0.0028	0.1265	0.3062	0.1227	0.168	0.1667	0.0202	0.1383	0.2595	0.2552	-0.1253	0.1741	0.003	-0.3258	-0.1136	0.3705	0.0609	0.0729	0.2451	0.0352	0.0742	-0.1245	-0.0562	0.3033	0.1396	0.2045	0.2508	0.2586	-0.078	0.0188	-0.034	0.2256	0.0328	0.1551	0.1161	0.1531	0.0718	0.1469	-0.0042	0.1489	0.2477	0.1832	0.1829	0.0574	-0.1194	-0.1322	-0.325	-0.5087	-0.2241	0.7682	-0.212	0.7868	-0.2575	-0.6401	-0.0308	-0.3967	-0.6584	-0.5392	-0.2606	-0.0805	-0.4233	-0.3227	-0.27	-0.4569	-0.1809	-0.3033	-0.2008	-0.2229	-0.4608	0.001	-0.3797	-0.3694	-0.3751	-0.2968	-0.0743	-0.2167	-0.4796	-0.2716	-0.0226	-0.1379	-0.3483	-0.0245	-0.3502	-0.1313	-0.1705	-0.1386	0.0756	-0.1479	-0.3729	0.0525	-0.1283	-0.1648	-0.3622	-0.0442	-0.2232	-0.0437	-0.0159	0.0354	-0.1788	-0.1672	0.1119	-0.4616	-0.1273	0.1826	0.0456	-0.1627	-0.0039	-0.0171	0.1712	-0.0122	0.0009	0.1025	-0.0056	0.3509	0.246	0.1646	-0.0353	0.1849	0.0901	0.1394	-0.3253	-0.0245	0.1137	0.2307	0.2229	0.2641	0.2524	0.07	-0.1263	0.2496	-0.1955	0.1324	-0.2034	0.1424	0.2078	0.3698	0.2345	0.221	0.1689	0.389	0.0585	-0.0523	0.2219	0.2382
LH_Vis_6	0.37	0.3865	0.2097	0.3588	-0.2189	1.0	0.4333	0.2781	-0.3805	0.5375	0.1895	0.2815	0.4257	0.2259	-0.164	0.1348	0.1981	-0.0801	-0.022	0.0847	-0.1231	0.004	-0.0556	0.0741	-0.0673	-0.106	-0.0958	0.0315	-0.0944	-0.0462	0.0625	-0.147	0.2536	-0.1366	-0.1875	0.0269	0.1745	0.0005	0.2554	-0.0403	0.3156	0.0037	-0.0332	-0.0456	-0.1049	-0.2711	-0.1351	-0.0529	0.0293	-0.3954	-0.0846	-0.0535	0.0619	-0.1136	0.0496	0.1162	0.1817	0.0211	-0.1198	0.0182	-0.3994	-0.0606	-0.2616	-0.153	-0.1151	-0.1806	0.106	-0.1464	0.2061	0.1395	0.3901	0.0658	-0.2586	0.0009	-0.2693	0.2026	-0.0179	-0.0753	0.357	0.3963	0.0053	0.0405	0.1142	0.3882	0.0189	0.3852	-0.0678	0.2724	0.4702	0.101	0.2709	-0.2089	0.1164	0.1611	-0.0023	0.5361	0.262	0.2305	0.3944	0.2655	0.0913	-0.0467	0.156	0.3496	0.2094	-0.0513	0.1955	-0.2546	0.4441	0.4166	0.2902	0.2076	0.3069	0.277	0.1492	0.3627	-0.1083	0.09	0.1838	-0.1172	0.0173	0.2136	0.0675	-0.0169	-0.1179	-0.0121	0.0426	-0.07	-0.357	-0.0559	-0.1692	-0.0767	-0.0826	0.0487	-0.1737	0.2842	0.0381	-0.3474	0.1065	0.1018	0.0866	-0.0165	0.0552	-0.1573	-0.0279	-0.1098	-0.2768	0.1342	-0.0258	-0.1644	-0.2586	-0.0467	-0.1023	-0.2247	-0.2527	-0.0768	0.0913	-0.1617	-0.0559	-0.069	-0.1184	-0.1314	-0.1873	-0.0672	-0.5323	-0.3941	-0.2936	-0.3721	-0.0118	-0.5256	-0.3317	-0.4319	-0.0512	-0.3644	-0.13	-0.2459	0.2784	0.1996	-0.0001	-0.2015	-0.3086	0.0347	-0.221	-0.4525	0.1236	-0.2266	0.2236	-0.0194	0.0237	-0.2484	0.3073	0.1403	-0.189	0.1832	-0.3683	-0.3286	0.1948	0.4971	0.2614	-0.0097
LH_Vis_7	-0.0565	0.7366	0.3569	0.4919	-0.1571	0.4333	1.0	0.2698	-0.1039	0.7965	0.0624	0.3752	0.5154	0.3185	-0.3073	0.1756	0.371	-0.0279	0.1595	0.0253	-0.1441	0.393	0.0584	0.0627	-0.1183	0.2029	0.2159	-0.1748	0.1795	0.1136	-0.0909	-0.2575	0.0098	-0.2701	-0.3156	0.0138	-0.2824	-0.3698	-0.2346	-0.1269	0.0837	-0.0636	0.0456	-0.1739	-0.0516	0.027	-0.023	-0.2536	0.205	-0.172	-0.3563	0.0749	-0.0673	-0.1088	-0.0912	-0.154	0.0554	-0.0459	-0.3144	0.1289	-0.1434	0.2952	-0.0696	-0.0807	-0.3958	-0.0531	0.0332	-0.1948	0.403	0.1691	0.489	0.2425	-0.1194	-0.0274	-0.2238	-0.0614	0.1769	0.0397	0.4132	-0.0372	-0.0511	-0.013	-0.1346	-0.053	0.1207	0.1011	0.1227	-0.1074	-0.0119	-0.1728	-0.0694	-0.0751	0.1424	-0.3012	-0.143	0.2527	0.1224	0.2891	0.1509	-0.1086	-0.1108	-0.438	0.3089	0.496	0.1441	-0.0597	0.4301	-0.3662	0.8883	0.6018	-0.0679	0.3763	0.3941	0.2806	0.1119	0.3825	-0.1286	0.3603	0.5117	0.2022	0.2386	-0.0218	0.18	-0.085	-0.125	0.2793	-0.0882	-0.0175	-0.0304	0.1688	-0.416	0.1828	0.1091	0.0158	-0.0281	0.2718	-0.1624	-0.0696	-0.1813	-0.2419	0.0138	-0.3371	-0.2745	-0.0284	-0.068	-0.3719	-0.1437	0.1622	0.1163	0.1691	0.0256	-0.1093	0.16	0.1218	0.1207	0.0859	0.3332	0.0244	-0.0275	-0.1054	0.0816	-0.1398	0.0544	0.089	-0.0828	0.0469	0.0917	0.071	0.0898	-0.1678	-0.0992	-0.0683	0.3647	-0.2902	-0.0491	0.1443	0.5656	0.2768	0.2995	0.0459	-0.0745	-0.1635	-0.0271	-0.0643	0.0369	-0.2251	0.3025	0.14	0.1238	0.0452	-0.0495	-0.0361	0.2015	-0.0735	-0.2322	-0.3277	-0.0535	0.2189	0.0347	-0.0178
LH_Vis_8	0.2036	0.6534	0.5277	0.5176	-0.2172	0.2781	0.2698	1.0	0.3483	0.3563	0.5142	0.393	0.512	0.7193	0.2599	0.3018	0.3707	0.1324	0.1709	0.366	0.0369	0.0427	0.366	0.4032	0.2655	0.1475	0.3643	-0.066	0.2808	0.2219	-0.0298	-0.1969	0.4482	0.089	0.1056	0.2876	0.2942	0.2151	0.1521	0.0656	0.1987	-0.0929	-0.0095	0.2159	-0.047	-0.2548	0.2644	-0.0945	0.0129	-0.326	-0.4166	-0.0691	0.0252	0.003	0.2026	-0.1057	-0.0548	-0.0826	-0.2438	0.3496	-0.1813	0.0531	-0.1477	-0.016	-0.3563	-0.1443	-0.1681	-0.3206	0.0143	-0.2456	0.1486	0.1105	-0.2524	0.187	-0.0585	0.2259	-0.0139	-0.1686	0.3162	-0.0773	-0.1113	0.0462	-0.0104	0.1613	-0.1621	0.084	-0.2627	0.0489	0.0606	-0.1785	0.0858	-0.2423	-0.0789	-0.0021	-0.2959	0.1495	0.1473	0.1477	0.2301	0.0098	0.0932	0.0834	0.7066	0.4789	0.7384	-0.0002	0.314	0.0927	0.1798	0.3151	0.5065	0.7093	0.4548	0.6273	0.3514	0.2284	0.3468	0.3825	0.3052	0.2492	0.305	0.4239	0.3689	0.2584	0.3957	-0.0151	0.3293	0.3136	0.1833	0.3971	-0.2922	0.3021	0.2918	0.3009	0.3832	0.5132	0.1626	-0.0707	0.2998	0.225	0.4785	0.2833	0.1037	0.0718	0.3116	-0.0271	-0.1012	0.3153	0.3208	0.052	-0.0505	0.2386	0.1569	-0.0517	0.0478	-0.0106	0.1326	-0.0842	0.1331	-0.0274	-0.2527	0.0994	0.0835	-0.0393	-0.3127	-0.166	-0.1703	-0.1219	0.0188	-0.3613	-0.1177	-0.3631	-0.0353	-0.173	-0.178	-0.2831	0.2225	-0.009	-0.002	-0.2296	-0.3874	-0.2869	-0.2324	-0.2186	0.3188	-0.0814	0.3971	-0.0507	0.1271	-0.2149	0.1852	0.0016	0.1949	-0.0265	-0.2582	-0.205	-0.054	0.1443	0.0772	-0.0831
LH_Vis_9	-0.5413	-0.0161	-0.1292	-0.15	0.3917	-0.3805	-0.1039	0.3483	1.0	-0.2911	0.1149	-0.1996	-0.1627	0.0928	0.1445	-0.1854	-0.1314	-0.1139	0.0069	-0.0308	-0.1486	-0.1854	0.1093	-0.0531	0.0125	-0.0401	0.174	-0.1885	0.0429	0.0136	-0.0641	-0.2151	-0.2136	-0.1035	-0.1305	-0.074	-0.188	-0.0239	-0.1664	-0.0515	-0.3551	-0.0132	-0.0532	-0.0317	-0.1269	-0.0373	0.0952	-0.2192	-0.182	-0.0622	-0.401	-0.1551	-0.198	-0.1664	0.2727	0.0014	-0.0555	-0.2375	0.0832	0.0475	0.3302	0.1937	0.0153	0.1619	-0.0285	0.1716	-0.1617	-0.0813	-0.0319	-0.4041	-0.2175	0.1753	-0.0525	0.1933	0.3627	0.1982	0.216	-0.1142	-0.1004	-0.1411	0.0682	0.3167	-0.0142	0.1206	-0.0879	0.0807	-0.0932	0.0964	-0.1406	-0.1069	0.0971	0.191	0.0619	-0.0356	-0.1691	-0.0435	0.2346	0.1697	0.13	-0.321	-0.1908	-0.0774	0.2309	-0.0582	0.125	0.5216	0.0177	0.6249	-0.2732	-0.3653	-0.059	0.2089	-0.2743	0.0256	-0.1057	-0.1475	0.2031	-0.0754	-0.0935	-0.0309	-0.0464	-0.0355	0.0276	-0.0341	-0.0379	-0.0922	-0.1493	-0.1207	0.0429	0.0606	-0.2171	0.0567	-0.0604	0.0392	0.1126	-0.0858	-0.2532	0.0711	-0.1937	-0.0996	-0.0691	-0.0578	-0.0925	-0.0413	-0.1238	-0.0088	0.0444	0.0531	-0.1203	-0.0224	-0.2035	0.1746	0.0589	0.0158	-0.048	-0.0145	-0.0547	-0.2477	0.1126	0.1273	0.1628	0.1188	0.1987	-0.0188	0.0872	0.1961	0.2098	0.2271	-0.0003	0.3319	0.2772	0.1147	-0.1402	-0.0008	0.1055	-0.0241	-0.199	-0.0966	0.1772	0.1054	0.0714	-0.0097	0.14	0.3813	0.1153	0.2616	0.2259	0.1315	0.0692	0.0051	0.0779	0.0845	0.1954	0.0208	0.2713	0.2276	-0.0984	-0.2785	0.1368	0.1312
LH_Vis_10	0.1905	0.7099	0.4839	0.6909	-0.4026	0.5375	0.7965	0.3563	-0.2911	1.0	0.0323	0.6521	0.7012	0.4509	-0.1843	0.3252	0.4425	0.1418	0.2207	0.2079	0.098	0.4095	0.2616	0.2831	0.0871	0.2696	0.3271	0.0613	0.2041	0.2546	-0.1023	-0.1073	0.1795	-0.0392	-0.0936	0.1053	-0.0861	-0.2417	-0.0021	0.0243	0.3381	-0.0633	-0.0203	0.0239	0.074	-0.022	0.0779	-0.061	0.2641	-0.1934	-0.2215	0.1667	0.198	0.0597	-0.1141	-0.1118	0.0402	-0.0111	-0.3819	0.1878	-0.2582	0.1043	-0.0812	-0.2055	-0.4315	-0.1901	-0.0089	-0.1916	0.2011	0.1985	0.5326	0.2087	-0.0406	-0.0569	-0.3182	-0.0659	0.1029	0.1132	0.3828	-0.0354	-0.1069	-0.1821	-0.0221	-0.1591	0.1009	0.0012	0.046	-0.1449	-0.0274	-0.1518	-0.1681	-0.2434	-0.0008	-0.2505	-0.2019	0.2491	-0.003	0.1233	0.1265	-0.0035	-0.0313	-0.2364	0.4176	0.6661	0.2711	-0.2952	0.4441	-0.5427	0.8549	0.7917	0.0432	0.4986	0.6498	0.4236	0.2296	0.3474	0.0454	0.429	0.5048	0.2945	0.3013	0.1505	0.3212	0.1639	0.1661	0.1748	0.1476	0.2429	0.1657	0.3315	-0.2222	0.2051	0.2088	0.1302	-0.0201	0.496	0.0884	-0.0809	0.1302	-0.0615	0.1201	-0.0836	-0.0269	0.0833	0.0795	-0.1518	-0.0948	0.326	0.3483	0.2456	0.1571	-0.0728	0.0993	0.1232	0.161	0.1451	0.4067	0.1037	-0.0866	-0.0984	-0.0196	-0.136	0.0531	-0.006	-0.0567	-0.0378	-0.0491	0.0116	0.1034	-0.2968	-0.1543	-0.0997	0.3003	-0.1988	-0.0692	-0.0067	0.5935	0.2324	0.1887	-0.1305	-0.2187	-0.2172	-0.1518	-0.1483	0.0229	-0.3076	0.2808	0.0561	0.2573	-0.0569	-0.1571	-0.1175	0.0753	-0.1504	-0.3221	-0.3062	-0.097	0.3369	-0.0778	-0.0975
