sub,run,pui,lf_s,lf_r,hf_p
sub-pa1372,1,2.393952233,4.781189442,3.68264389,0.776921511
sub-pa1372,2,2.347219226,4.625816822,2.403949261,0.479005665
sub-pa1387,2,3.165966253,16.65044022,5.504677296,0.503756166
sub-pa1416,1,2.385295214,8.29689312,3.610468864,0.461461455
sub-pa1416,2,1.761822908,4.532355309,1.124189854,0.348363787
sub-pa1582,1,3.243750895,3.632502794,7.673967838,0.901367426
sub-pa1582,2,3.664199831,9.602276802,12.54480171,1.048636556
sub-pa1604,1,1.7693367,2.672964811,1.842290521,0.296011299
sub-pa1604,2,1.881381229,3.198010206,1.93562603,0.292647839
sub-pa1674,1,5.486865408,11.99127197,18.36663628,4.24083519
sub-pa1674,2,6.069411963,18.06520844,14.6877737,5.188817978
sub-pa1700,1,3.266022887,9.567749023,5.357355595,1.472783804
sub-pa1700,2,2.837814668,5.528802872,4.020149231,0.766707003
sub-pa1766,1,6.526982117,23.50290489,18.25712395,1.705118775
sub-pa1766,2,2.711312366,17.70685577,3.809503078,0.866625607
sub-pa1792,1,3.05541924,4.082307339,11.16680241,0.755999148
sub-pa1792,2,1.794400187,1.546947956,1.515782356,0.481050491
sub-pa1811,1,3.227789852,13.46970177,5.2780509,0.962397814
sub-pa1811,2,2.256512926,2.526373386,3.020635128,0.660559952
sub-pa1834,1,2.016390151,5.716503143,3.101939917,0.237905398
sub-pa1834,2,2.110138077,6.080162048,3.384096861,0.270519257
sub-pa1859,1,4.027520733,27.02438545,10.85473347,0.937906444
sub-pa1859,2,2.864785849,6.889048576,4.889809608,0.863717318
sub-pa1913,1,4.303153685,30.7363224,12.07796097,2.210686922
sub-pa1913,2,5.94953806,57.23758698,12.8240757,4.956264973
sub-pa1940,1,4.921445278,20.89722061,5.607398033,2.246467113
sub-pa1940,2,2.237997488,7.275033474,3.608758926,0.256012917
sub-pa1978,1,3.687199391,20.22249413,10.3499403,1.348163843
sub-pa1978,2,2.584518239,11.23004818,3.384813547,0.416140586
sub-pa2079,1,3.559299568,12.47182083,7.44005394,1.157072544
sub-pa2079,2,3.077623811,13.21358299,3.918564558,0.726755857
sub-pa2100,1,2.284175993,4.588651657,2.339164495,0.605956912
sub-pa2100,2,1.205876833,0.854905188,0.520754993,0.105626613
sub-pa2106,1,1.364112283,1.86832571,1.048693299,0.160195231
sub-pa2106,2,2.972811032,16.81131935,4.665778637,1.088796377
sub-pa2196,1,2.611239971,4.595388889,4.487733841,0.49778524
sub-pa2196,2,2.559043421,5.038766861,5.830093384,0.424579203
sub-pa2213,1,4.098853089,22.04847145,7.755170822,2.007252693
sub-pa2213,2,4.89637544,33.95339203,12.58540916,3.551932812
sub-pa2216,1,6.098483568,30.85852242,26.53798676,6.793165207
sub-pa2216,2,2.374618795,1.987005353,0.82730633,0.292292178
sub-pa2220,1,2.150639458,3.348201513,2.585767746,0.703034937
sub-pa2220,2,1.983724589,1.995870352,2.274135828,0.330767065
sub-pa2221,1,4.058475207,11.22384071,8.461057663,1.133699894
sub-pa2221,2,3.341423854,22.06422997,4.626999855,0.646084428
sub-pa2226,1,2.439073375,4.750649452,3.447062254,0.731407285
sub-pa2226,2,2.240283896,5.533430099,3.771277666,0.541527689
